,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
0,1hzh,Ag,111,15.0,-50.0,-169.57426,120.0,60.0,7.3,13.779909,-169.57418924915507
1,1hzh,Ag,111,2.0,-60.0,-103.87978,355.0,170.0,7.3,12.7245723,-103.61443533104665
2,1hzh,Ag,111,45.0,-60.0,-155.56157,175.0,35.0,7.3,15.155484600000001,-155.39992332189453
3,1hzh,Ag,111,40.0,-40.0,-161.92419,175.0,35.0,7.3,11.636417400000001,-161.92417578803688
4,1hzh,Ag,111,10.0,-40.0,-146.50827,175.0,25.0,7.3,39.93999840000001,-146.47516268242381
5,1hzh,Ag,111,35.0,-60.0,-149.84,5.0,130.0,7.3,9.805968600000002,-149.784155752048
6,1hzh,Ag,111,35.0,-30.0,-170.02055,180.0,35.0,7.3,17.9191356,-170.02048952461203
7,1hzh,Ag,111,15.0,-40.0,-164.60746,120.0,60.0,7.3,23.646434400000004,-164.5465847962496
8,1hzh,Ag,111,8.0,-20.0,-146.58178,175.0,25.0,7.3,16.637607300000003,-146.58021594254006
9,1hzh,Ag,111,25.0,-40.0,-154.32724,5.0,130.0,7.3,11.9398488,-154.31628833230843
10,1hzh,Ag,111,20.0,0.0,-159.00099,175.0,30.0,7.3,16.462834200000003,-158.75502284832083
11,1hzh,Ag,111,35.0,-40.0,-174.60182,0.0,130.0,7.3,26.195771100000005,-174.60181306121106
12,1hzh,Ag,111,45.0,-40.0,-158.23079,185.0,40.0,7.3,24.526524900000002,-158.14822881260176
13,1hzh,Ag,111,30.0,-10.0,-166.63713,180.0,35.0,7.3,19.2948108,-166.63712040056802
14,1hzh,Ag,111,40.0,-10.0,-162.43307,175.0,35.0,7.3,10.187934600000002,-162.4165056606811
15,1hzh,Ag,111,2.0,0.0,-101.9859,355.0,170.0,7.3,7.6864806,-101.56242088981455
16,1hzh,Ag,111,2.0,-40.0,-110.61541,355.0,170.0,7.3,7.302323400000001,-110.2913575462125
17,1hzh,Ag,111,10.0,-60.0,-154.18868,85.0,95.0,7.3,9.1168362,-153.96737071850782
18,1hzh,Ag,111,20.0,-10.0,-170.23026,120.0,65.0,7.3,28.5801453,-170.23024975346692
19,1hzh,Ag,111,40.0,-30.0,-161.70893,180.0,35.0,7.3,39.8851686,-161.65617151130172
20,1hzh,Ag,111,20.0,-50.0,-158.78686,120.0,65.0,7.3,17.917143600000003,-158.66371220263005
21,1hzh,Ag,111,20.0,-60.0,-174.08801,120.0,65.0,7.3,15.253640400000002,-174.08783124654292
22,1hzh,Ag,111,4.0,-60.0,-125.1034,175.0,20.0,7.3,3.9733677000000007,-124.98114132089513
23,1hzh,Ag,111,45.0,0.0,-154.98509,80.0,85.0,7.3,37.7751177,-154.87242295731406
24,1hzh,Ag,111,25.0,0.0,-160.10261,5.0,130.0,7.3,7.6929297000000005,-160.10250556332136
25,1hzh,Ag,111,45.0,-50.0,-152.70767,85.0,85.0,7.3,19.105296900000003,-152.70544062100382
26,1hzh,Ag,111,30.0,-30.0,-172.69369,0.0,130.0,7.3,18.248537700000004,-172.6936895234732
27,1hzh,Ag,111,15.0,-10.0,-171.36356,180.0,30.0,7.3,26.0120838,-171.36355999741198
28,1hzh,Ag,111,25.0,-30.0,-156.16549,180.0,35.0,7.3,26.0529447,-155.84408038952333
29,1hzh,Ag,111,2.0,-30.0,-112.7784,0.0,170.0,7.3,9.9927186,-112.75634873236291
30,1hzh,Ag,111,50.0,-50.0,-159.60736,85.0,85.0,7.3,19.183209,-159.60735770430927
31,1hzh,Ag,111,8.0,-50.0,-158.90406,180.0,25.0,7.3,12.367904700000002,-158.90405825057093
32,1hzh,Ag,111,40.0,-20.0,-168.73021,80.0,85.0,7.3,15.1922619,-168.57901627424323
33,1hzh,Ag,111,40.0,-60.0,-152.22564,85.0,85.0,7.3,26.0251812,-151.92761831464668
34,1hzh,Ag,111,35.0,-10.0,-172.88455,180.0,35.0,7.3,16.772166900000002,-172.88454999979726
35,1hzh,Ag,111,4.0,-10.0,-135.05731,175.0,20.0,7.3,7.133202600000001,-135.05730350249453
