pdb_doi,prot,n_aa,cpu_ua,cpu_propka,cpu_total
https://doi.org/10.2210/pdb1U6G/pdb,1u6g,1949,18.32,48,66.32
https://doi.org/10.2210/pdb2W2C/pdb,2w2c,1787,16.72,44.78,61.5
https://doi.org/10.2210/pdb1HZH/pdb,1hzh,1331,15.29,44.78,60.07
https://doi.org/10.2210/pdb1H1V/pdb,1h1v,695,12.83,13.4,26.23
https://doi.org/10.2210/pdb10GS/pdb,10gs,416,11.35,9.58,20.93
https://doi.org/10.2210/pdb1A07/pdb,1a07,211,10.26,7.76,18.02
https://doi.org/10.2210/pdb1A7F/pdb,1a7f,50,9.17,8.79,17.96
